vocab.size = 25911
batch_acm 99, loss 9.757, acc 0.029, nll 9.855, ppl 991.000, x_acm 3960, lr 0.000004, time 34
batch_acm 199, loss 8.613, acc 0.066, nll 8.613, ppl 486.800, x_acm 7960, lr 0.000007, time 68
batch_acm 299, loss 7.466, acc 0.082, nll 7.466, ppl 236.588, x_acm 11960, lr 0.000011, time 102
batch_acm 399, loss 6.427, acc 0.099, nll 6.427, ppl 122.365, x_acm 15960, lr 0.000014, time 137
batch_acm 499, loss 5.562, acc 0.124, nll 5.560, ppl 76.236, x_acm 19944, lr 0.000018, time 26
batch_acm 599, loss 5.212, acc 0.133, nll 5.212, ppl 63.109, x_acm 23944, lr 0.000022, time 60
batch_acm 699, loss 5.039, acc 0.144, nll 5.039, ppl 54.908, x_acm 27944, lr 0.000025, time 95
batch_acm 799, loss 4.875, acc 0.158, nll 4.875, ppl 47.530, x_acm 31944, lr 0.000029, time 129
batch_acm 899, loss 4.952, acc 0.162, nll 4.951, ppl 46.266, x_acm 35940, lr 0.000032, time 20
batch_acm 999, loss 4.849, acc 0.174, nll 4.849, ppl 42.484, x_acm 39940, lr 0.000036, time 54
batch_acm 1099, loss 4.765, acc 0.180, nll 4.765, ppl 38.782, x_acm 43940, lr 0.000040, time 88
batch_acm 1199, loss 4.696, acc 0.184, nll 4.696, ppl 36.569, x_acm 47940, lr 0.000043, time 123
batch_acm 1299, loss 4.530, acc 0.189, nll 4.530, ppl 32.894, x_acm 51928, lr 0.000047, time 13
batch_acm 1399, loss 4.406, acc 0.191, nll 4.406, ppl 30.722, x_acm 55928, lr 0.000050, time 47
batch_acm 1499, loss 4.353, acc 0.195, nll 4.353, ppl 29.240, x_acm 59928, lr 0.000054, time 81
batch_acm 1599, loss 4.306, acc 0.197, nll 4.306, ppl 28.214, x_acm 63928, lr 0.000058, time 115
batch_acm 1699, loss 4.230, acc 0.199, nll 4.230, ppl 26.753, x_acm 67922, lr 0.000061, time 6
batch_acm 1799, loss 3.976, acc 0.213, nll 3.976, ppl 23.500, x_acm 71922, lr 0.000065, time 40
batch_acm 1899, loss 3.948, acc 0.215, nll 3.948, ppl 22.613, x_acm 75922, lr 0.000069, time 74
batch_acm 1999, loss 3.930, acc 0.218, nll 3.930, ppl 22.356, x_acm 79922, lr 0.000072, time 109
batch_acm 2099, loss 3.856, acc 0.223, nll 3.861, ppl 21.261, x_acm 83889, lr 0.000076, time 0
batch_acm 2199, loss 4.232, acc 0.208, nll 4.232, ppl 25.333, x_acm 87889, lr 0.000079, time 35
batch_acm 2299, loss 4.166, acc 0.216, nll 4.166, ppl 24.026, x_acm 91889, lr 0.000083, time 69
batch_acm 2399, loss 4.131, acc 0.221, nll 4.131, ppl 23.604, x_acm 95889, lr 0.000087, time 103
batch_acm 2499, loss 4.108, acc 0.226, nll 4.108, ppl 23.007, x_acm 99889, lr 0.000090, time 137
batch_acm 2599, loss 3.999, acc 0.235, nll 3.999, ppl 22.019, x_acm 103880, lr 0.000094, time 27
batch_acm 2699, loss 3.908, acc 0.244, nll 3.908, ppl 20.568, x_acm 107880, lr 0.000097, time 61
batch_acm 2799, loss 3.896, acc 0.247, nll 3.896, ppl 20.220, x_acm 111880, lr 0.000101, time 96
batch_acm 2899, loss 3.844, acc 0.252, nll 3.844, ppl 19.674, x_acm 115880, lr 0.000105, time 130
batch_acm 2999, loss 3.895, acc 0.253, nll 3.895, ppl 20.119, x_acm 119847, lr 0.000108, time 20
batch_acm 3099, loss 3.899, acc 0.253, nll 3.899, ppl 20.381, x_acm 123847, lr 0.000112, time 54
batch_acm 3199, loss 3.882, acc 0.259, nll 3.882, ppl 19.873, x_acm 127847, lr 0.000115, time 88
batch_acm 3299, loss 3.876, acc 0.260, nll 3.876, ppl 19.393, x_acm 131847, lr 0.000119, time 122
batch_acm 3399, loss 3.822, acc 0.265, nll 3.820, ppl 19.101, x_acm 135823, lr 0.000123, time 12
batch_acm 3499, loss 3.743, acc 0.274, nll 3.743, ppl 18.293, x_acm 139823, lr 0.000126, time 46
batch_acm 3599, loss 3.732, acc 0.278, nll 3.732, ppl 18.335, x_acm 143823, lr 0.000130, time 81
batch_acm 3699, loss 3.655, acc 0.286, nll 3.655, ppl 17.303, x_acm 147823, lr 0.000133, time 115
batch_acm 3799, loss 3.627, acc 0.288, nll 3.630, ppl 16.980, x_acm 151792, lr 0.000137, time 5
batch_acm 3899, loss 3.587, acc 0.293, nll 3.587, ppl 16.570, x_acm 155792, lr 0.000141, time 39
batch_acm 3999, loss 3.584, acc 0.296, nll 3.584, ppl 16.443, x_acm 159792, lr 0.000144, time 73
batch_acm 4099, loss 3.523, acc 0.304, nll 3.523, ppl 15.851, x_acm 163792, lr 0.000148, time 107
batch_acm 4199, loss 3.530, acc 0.304, nll 3.530, ppl 15.807, x_acm 167792, lr 0.000152, time 142
batch_acm 4299, loss 3.598, acc 0.297, nll 3.598, ppl 16.713, x_acm 171792, lr 0.000155, time 32
batch_acm 4399, loss 3.555, acc 0.303, nll 3.555, ppl 16.233, x_acm 175792, lr 0.000159, time 66
batch_acm 4499, loss 3.529, acc 0.308, nll 3.529, ppl 16.183, x_acm 179792, lr 0.000162, time 101
batch_acm 4599, loss 3.513, acc 0.311, nll 3.513, ppl 15.591, x_acm 183792, lr 0.000166, time 135
batch_acm 4699, loss 3.387, acc 0.322, nll 3.387, ppl 14.888, x_acm 187778, lr 0.000170, time 25
batch_acm 4799, loss 3.300, acc 0.336, nll 3.300, ppl 14.162, x_acm 191778, lr 0.000173, time 60
batch_acm 4899, loss 3.260, acc 0.341, nll 3.260, ppl 13.706, x_acm 195778, lr 0.000177, time 94
batch_acm 4999, loss 3.290, acc 0.338, nll 3.290, ppl 13.866, x_acm 199778, lr 0.000180, time 128
batch_acm 5099, loss 3.384, acc 0.330, nll 3.385, ppl 14.498, x_acm 203776, lr 0.000184, time 21
batch_acm 5199, loss 3.491, acc 0.321, nll 3.491, ppl 15.148, x_acm 207776, lr 0.000188, time 55
batch_acm 5299, loss 3.421, acc 0.331, nll 3.421, ppl 14.670, x_acm 211776, lr 0.000191, time 89
batch_acm 5399, loss 3.413, acc 0.333, nll 3.413, ppl 14.531, x_acm 215776, lr 0.000195, time 123
batch_acm 5499, loss 3.481, acc 0.326, nll 3.481, ppl 15.183, x_acm 219774, lr 0.000198, time 14
batch_acm 5599, loss 3.523, acc 0.320, nll 3.523, ppl 15.517, x_acm 223774, lr 0.000202, time 48
batch_acm 5699, loss 3.476, acc 0.326, nll 3.476, ppl 14.888, x_acm 227774, lr 0.000206, time 82
batch_acm 5799, loss 3.416, acc 0.333, nll 3.416, ppl 14.359, x_acm 231774, lr 0.000209, time 116
