vocab.size = 25911
batch_acm 99, loss 9.787, acc 0.027, nll 9.886, ppl 1005.690, x_acm 1980, lr 0.000004
batch_acm 199, loss 8.635, acc 0.065, nll 8.635, ppl 496.181, x_acm 3980, lr 0.000007
batch_acm 299, loss 7.553, acc 0.081, nll 7.553, ppl 252.805, x_acm 5980, lr 0.000011
batch_acm 399, loss 6.569, acc 0.090, nll 6.569, ppl 132.832, x_acm 7980, lr 0.000014
batch_acm 499, loss 5.853, acc 0.109, nll 5.853, ppl 86.217, x_acm 9980, lr 0.000018
batch_acm 599, loss 5.513, acc 0.118, nll 5.513, ppl 71.922, x_acm 11980, lr 0.000022
batch_acm 699, loss 5.336, acc 0.129, nll 5.336, ppl 63.383, x_acm 13980, lr 0.000025
batch_acm 799, loss 5.146, acc 0.142, nll 5.146, ppl 54.641, x_acm 15980, lr 0.000029
batch_acm 899, loss 4.944, acc 0.157, nll 4.936, ppl 48.023, x_acm 17964, lr 0.000032
batch_acm 999, loss 4.763, acc 0.167, nll 4.763, ppl 42.550, x_acm 19964, lr 0.000036
batch_acm 1099, loss 4.679, acc 0.174, nll 4.679, ppl 40.112, x_acm 21964, lr 0.000040
batch_acm 1199, loss 4.525, acc 0.182, nll 4.525, ppl 35.962, x_acm 23964, lr 0.000043
batch_acm 1299, loss 4.521, acc 0.183, nll 4.521, ppl 35.453, x_acm 25964, lr 0.000047
batch_acm 1399, loss 4.424, acc 0.187, nll 4.424, ppl 32.490, x_acm 27964, lr 0.000050
batch_acm 1499, loss 4.363, acc 0.191, nll 4.363, ppl 30.442, x_acm 29964, lr 0.000054
batch_acm 1599, loss 4.329, acc 0.192, nll 4.329, ppl 29.710, x_acm 31964, lr 0.000058
batch_acm 1699, loss 4.385, acc 0.190, nll 4.385, ppl 31.210, x_acm 33960, lr 0.000061
batch_acm 1799, loss 4.481, acc 0.192, nll 4.481, ppl 30.843, x_acm 35960, lr 0.000065
batch_acm 1899, loss 4.490, acc 0.191, nll 4.490, ppl 30.517, x_acm 37960, lr 0.000069
batch_acm 1999, loss 4.442, acc 0.195, nll 4.442, ppl 29.441, x_acm 39960, lr 0.000072
batch_acm 2099, loss 4.400, acc 0.199, nll 4.400, ppl 28.566, x_acm 41960, lr 0.000076
batch_acm 2199, loss 4.345, acc 0.200, nll 4.345, ppl 27.608, x_acm 43960, lr 0.000079
batch_acm 2299, loss 4.346, acc 0.204, nll 4.346, ppl 27.400, x_acm 45960, lr 0.000083
batch_acm 2399, loss 4.320, acc 0.203, nll 4.320, ppl 26.353, x_acm 47960, lr 0.000087
batch_acm 2499, loss 4.267, acc 0.207, nll 4.267, ppl 25.519, x_acm 49960, lr 0.000090
batch_acm 2599, loss 4.200, acc 0.204, nll 4.200, ppl 24.966, x_acm 51948, lr 0.000094
batch_acm 2699, loss 4.150, acc 0.207, nll 4.150, ppl 24.486, x_acm 53948, lr 0.000097
batch_acm 2799, loss 4.071, acc 0.212, nll 4.071, ppl 22.903, x_acm 55948, lr 0.000101
batch_acm 2899, loss 4.043, acc 0.216, nll 4.043, ppl 22.293, x_acm 57948, lr 0.000105
batch_acm 2999, loss 4.031, acc 0.219, nll 4.031, ppl 22.216, x_acm 59948, lr 0.000108
batch_acm 3099, loss 3.998, acc 0.226, nll 3.998, ppl 21.762, x_acm 61948, lr 0.000112
batch_acm 3199, loss 4.005, acc 0.231, nll 4.005, ppl 21.844, x_acm 63948, lr 0.000115
batch_acm 3299, loss 3.959, acc 0.235, nll 3.959, ppl 21.131, x_acm 65948, lr 0.000119
batch_acm 3399, loss 3.870, acc 0.242, nll 3.869, ppl 20.518, x_acm 67942, lr 0.000123
batch_acm 3499, loss 3.664, acc 0.258, nll 3.664, ppl 18.524, x_acm 69942, lr 0.000126
batch_acm 3599, loss 3.651, acc 0.264, nll 3.651, ppl 18.073, x_acm 71942, lr 0.000130
batch_acm 3699, loss 3.604, acc 0.272, nll 3.604, ppl 17.717, x_acm 73942, lr 0.000133
batch_acm 3799, loss 3.599, acc 0.273, nll 3.599, ppl 17.624, x_acm 75942, lr 0.000137
batch_acm 3899, loss 3.543, acc 0.282, nll 3.543, ppl 16.994, x_acm 77942, lr 0.000141
batch_acm 3999, loss 3.504, acc 0.289, nll 3.504, ppl 16.904, x_acm 79942, lr 0.000144
batch_acm 4099, loss 3.547, acc 0.287, nll 3.547, ppl 17.076, x_acm 81942, lr 0.000148
batch_acm 4199, loss 3.483, acc 0.296, nll 3.481, ppl 16.388, x_acm 83929, lr 0.000152
batch_acm 4299, loss 3.911, acc 0.259, nll 3.911, ppl 20.903, x_acm 85929, lr 0.000155
batch_acm 4399, loss 3.874, acc 0.263, nll 3.874, ppl 19.774, x_acm 87929, lr 0.000159
batch_acm 4499, loss 3.821, acc 0.269, nll 3.821, ppl 19.273, x_acm 89929, lr 0.000162
batch_acm 4599, loss 3.772, acc 0.272, nll 3.772, ppl 18.399, x_acm 91929, lr 0.000166
batch_acm 4699, loss 3.767, acc 0.274, nll 3.767, ppl 18.382, x_acm 93929, lr 0.000170
batch_acm 4799, loss 3.850, acc 0.269, nll 3.850, ppl 19.418, x_acm 95929, lr 0.000173
batch_acm 4899, loss 3.805, acc 0.273, nll 3.805, ppl 18.642, x_acm 97929, lr 0.000177
batch_acm 4999, loss 3.733, acc 0.282, nll 3.733, ppl 17.844, x_acm 99929, lr 0.000180
batch_acm 5099, loss 3.724, acc 0.282, nll 3.721, ppl 17.948, x_acm 101920, lr 0.000184
batch_acm 5199, loss 3.654, acc 0.289, nll 3.654, ppl 17.259, x_acm 103920, lr 0.000188
batch_acm 5299, loss 3.621, acc 0.294, nll 3.621, ppl 16.709, x_acm 105920, lr 0.000191
batch_acm 5399, loss 3.594, acc 0.296, nll 3.594, ppl 16.545, x_acm 107920, lr 0.000195
batch_acm 5499, loss 3.563, acc 0.300, nll 3.563, ppl 16.432, x_acm 109920, lr 0.000198
batch_acm 5599, loss 3.554, acc 0.303, nll 3.554, ppl 16.150, x_acm 111920, lr 0.000202
batch_acm 5699, loss 3.536, acc 0.306, nll 3.536, ppl 15.843, x_acm 113920, lr 0.000206
batch_acm 5799, loss 3.537, acc 0.306, nll 3.537, ppl 16.175, x_acm 115920, lr 0.000209
batch_acm 5899, loss 3.561, acc 0.307, nll 3.561, ppl 16.286, x_acm 117907, lr 0.000213
batch_acm 5999, loss 3.641, acc 0.298, nll 3.641, ppl 17.216, x_acm 119907, lr 0.000216
batch_acm 6099, loss 3.637, acc 0.300, nll 3.637, ppl 16.742, x_acm 121907, lr 0.000220
batch_acm 6199, loss 3.602, acc 0.303, nll 3.602, ppl 16.405, x_acm 123907, lr 0.000224
batch_acm 6299, loss 3.624, acc 0.302, nll 3.624, ppl 16.627, x_acm 125907, lr 0.000227
batch_acm 6399, loss 3.575, acc 0.308, nll 3.575, ppl 16.143, x_acm 127907, lr 0.000231
batch_acm 6499, loss 3.558, acc 0.311, nll 3.558, ppl 15.838, x_acm 129907, lr 0.000235
batch_acm 6599, loss 3.580, acc 0.309, nll 3.580, ppl 17.743, x_acm 131907, lr 0.000238
batch_acm 6699, loss 3.562, acc 0.312, nll 3.562, ppl 15.849, x_acm 133907, lr 0.000242
batch_acm 6799, loss 3.473, acc 0.319, nll 3.474, ppl 15.944, x_acm 135903, lr 0.000245
batch_acm 6899, loss 3.426, acc 0.327, nll 3.426, ppl 15.465, x_acm 137903, lr 0.000249
batch_acm 6999, loss 3.461, acc 0.325, nll 3.461, ppl 15.541, x_acm 139903, lr 0.000253
batch_acm 7099, loss 3.445, acc 0.329, nll 3.445, ppl 15.037, x_acm 141903, lr 0.000256
batch_acm 7199, loss 3.491, acc 0.323, nll 3.491, ppl 15.449, x_acm 143903, lr 0.000260
batch_acm 7299, loss 3.407, acc 0.333, nll 3.407, ppl 14.723, x_acm 145903, lr 0.000263
batch_acm 7399, loss 3.413, acc 0.334, nll 3.413, ppl 14.805, x_acm 147903, lr 0.000267
batch_acm 7499, loss 3.388, acc 0.338, nll 3.388, ppl 14.956, x_acm 149903, lr 0.000271
batch_acm 7599, loss 3.388, acc 0.334, nll 3.388, ppl 14.364, x_acm 151892, lr 0.000274
batch_acm 7699, loss 3.339, acc 0.339, nll 3.339, ppl 14.365, x_acm 153892, lr 0.000278
batch_acm 7799, loss 3.406, acc 0.336, nll 3.406, ppl 14.756, x_acm 155892, lr 0.000281
batch_acm 7899, loss 3.351, acc 0.343, nll 3.351, ppl 14.777, x_acm 157892, lr 0.000285
batch_acm 7999, loss 3.353, acc 0.342, nll 3.353, ppl 14.238, x_acm 159892, lr 0.000289
batch_acm 8099, loss 3.288, acc 0.348, nll 3.288, ppl 13.607, x_acm 161892, lr 0.000292
batch_acm 8199, loss 3.253, acc 0.353, nll 3.253, ppl 13.142, x_acm 163892, lr 0.000296
batch_acm 8299, loss 3.205, acc 0.358, nll 3.205, ppl 12.921, x_acm 165892, lr 0.000299
batch_acm 8399, loss 3.299, acc 0.350, nll 3.299, ppl 13.537, x_acm 167892, lr 0.000303
batch_acm 8499, loss 3.457, acc 0.334, nll 3.457, ppl 15.426, x_acm 169892, lr 0.000307
batch_acm 8599, loss 3.344, acc 0.344, nll 3.344, ppl 14.306, x_acm 171892, lr 0.000310
batch_acm 8699, loss 3.338, acc 0.345, nll 3.338, ppl 14.006, x_acm 173892, lr 0.000314
batch_acm 8799, loss 3.270, acc 0.352, nll 3.270, ppl 13.590, x_acm 175892, lr 0.000318
batch_acm 8899, loss 3.317, acc 0.350, nll 3.317, ppl 14.005, x_acm 177892, lr 0.000321
batch_acm 8999, loss 3.298, acc 0.354, nll 3.298, ppl 13.839, x_acm 179892, lr 0.000325
batch_acm 9099, loss 3.296, acc 0.356, nll 3.296, ppl 15.502, x_acm 181892, lr 0.000328
